Unnamed: 0,issue_id,issue_title,issue_description,post_id,post_title,post_description
0,MDL-53108,Gradebook categories and items should be drag and drop,"As per title, relates to [https://moodle.atlassian.net/browse/MDL-53107|https://moodle.atlassian.net/browse/MDL-53107] but also for more general tasks with more complex Gradebook layouts.

Drag'n'drop has revolutionised quiz and course page interaction, but seems to have been forgotten from Gradebook. This is a shame, and is affecting user engagement, as here; [https://moodle.org/mod/forum/discuss.php?d=315991|https://moodle.org/mod/forum/discuss.php?d=315991] and has many similar but unresolved requests dating back in come cases years. e.g. [https://moodle.atlassian.net/browse/MDL-18617|https://moodle.atlassian.net/browse/MDL-18617]",315991,Drag and Drop to in Gradebook Setup Tab?,"We are currently using Moodle 2.7 and are in the process of upgrading to 2.8.  I absolutely love the new ability to drag and drop quiz questions to reorder them.  Is there any chance to get this feature to reorganize grade items in the gradebook setup tab (e.g. reassigning activities to different categories by dragging and dropping instead of using the cumbersome ""move"" block)?  That would make all the difference to our professors."
1,MDL-53220,Include group memberships in grade export,"It would be nice to have the possibility to include group memberships for each user in the grade export.

Some years ago there was also a request for such a feature at the moodle forum: https://moodle.org/mod/forum/discuss.php?d=201884#p1000977
",201884,How to export list of enrolled users to excel,"Hi, Can someone point me in the right direction for exporting roster for a certain course into excel? Thanks"
2,MDL-53304,Immediate feedback behaviours should not show a disabled check button when you can't use it,"This affects the following core question behaviours:
* Immediate feedback
* Immediate feedback with CBM
* Interactive with multiple tries

These behaviours have a check button, and currently it is always visible, and gets disabled when the question is in a state that you cannot use it.

It would be better if the button did not appear when it was not relevant.

For further discussion see this forum thread: https://moodle.org/mod/forum/discuss.php?d=327729

(This is different from when a teacher reviews a student's in-progress quiz attempt. In that case, the button should be shown disabled, so that the teacher can see what the student can see.)",327729,Another possible quiz UI tweak: Check button in Interactive behaviour,"So we are still woking on a new theme for the OU's Moodle, so we are still looking hard at various bits of the quiz UI. In a meeting today, someone suddenly questioned something about 'Interactive with multiple tries' behaviour: In this screen grab of a question in the Try again state, is the disabled Check button serving any useful purpose? Would it be better to hide the button in this case? Or, perhaps it does serve some purpose from a usability perspective? I can't make my mind up, so I am hoping you can help. I have to say, in our new theme, I think the real problem is that disabled buttons don't look very disabled, and that make the Check button more confusing. P.S. If you want to know what we are doing, come to #MootIEUK16 , where we will be giving not just one but two presentations about this."
3,MDL-53368,Captcha available on login page,"This issue is to add a (re)captcha to the login page for auth methods that log into Moodle LMS using username and password.

Having a captcha on the login page will add an extra layer of protection against user account brute force attacks and bot logins. This functionality will also bring the login form in line with the self signup form and site contact forms where captcha is already enabled.

GDPR note: because of the way that the Google APIs work for captcha's this functionality is unlikely to be GDPR compliant. However, it is opt in functionality for jurisdictions that captcha functionality is allowed. As well as being opt in, for the functionality to operate, admins also need to sign up for the Google service and enter API keys into Moodle LMS. Because of this enabling this functionality is a quite deliberate action.

*Original reporter comments*

Thanks for the much needed help !! But here again i am with another set of problems, the issue being faced is that of implementing captcha in the login screen (i.e. when a user logs into the moodle ). I have explored the use of captcha in the sign-up form,is there a way to implement captcha in index page as well??
Could you please refer to forum post at [https://moodle.org/mod/forum/discuss.php?d=205825] and help us out ????",205825,reCAPTCHA on login,"Hi all, I could really use some help on this one! Googling and searching these forums didn't help, unfortunately My situation is as follows: - I have a bunch of manual accounts on my Moodle site (~500); - I would like to use reCAPTCHA on the login page (not on the new account page); - the idea is that on login users need to provide not only their username & password, but also a correct captcha. What would be the right way to do it? I thought about creating an authentication plugin, but, if I'm not mistaken, authentication plugins in Moodle do not reject users but rather accept them; i.e., if my custom plugin rejects a user based on an incorrect captcha, he will still be logged in by the Manual Accounts plugin. And I wouldn't want to duplicate the Manual Accounts' functionality... Thanks in advance!"
4,MDL-53398,Get information on roles in the system via WS,"As noted [here|https://moodle.org/mod/forum/discuss.php?d=193256], currently it is not possible to get the roleid, shortname and localname of the roles in the system as such. However, roleid is a required argument in several webservice function calls (core_role_assign_roles, core_role_unassign_roles, enrol_manual_enrol_users, enrol_manual_unenrol_users).

My solution would be to include information on the roles in the system as a part of what the core_webservice_get_site_info function returns.",193256,"For calling moodle_role_assign, how do I get the IDs of existing roles and contexts?","Hi, I'm experimenting with Moodle Web services in order to call Moodle from a Joomla front-end. One thing I need to do is to write scripts that enable our tutors to define a user, then set their rôle, and then, perhaps quite a time later, attach these users to courses that a tutor has created. Creating users is OK, but there's something I need for creating rôles. Which is that the Web-service function moodle_role_assign needs a rôle ID parameter. But how can I get the IDs of rôles that have already been added to the system? Our installation has rôles Manager, Teacher, Non-editing Teacher, and Student (amongst others), which are the ones I want to give to new users. But I can't find any way to list their IDs from Moodle's administrator's interface, nor can I see a Web-service function that would return the IDs. I suppose I'd need a function such as moodle_role_get_id, which would take the name or short name of a rôle and return its ID. Likewise, how do I get the IDs of existing contexts? I'd like to do all this without hacking Moodle, i.e. by calling only the Web services. I'm using Moodle 2.0.1 at the moment. Cheers, Jocelyn Ireson-Paine"
5,MDL-53488,Theme setting backup and restore.,"Often when upgrading / transferring / migrating sites, users need to recreate all of the setting values and are worried that something bad may happen, such as: https://moodle.org/mod/forum/discuss.php?d=329864#p1327199.  This would also facilitate transfer of settings from a test system whereby the look and feel has been established to a production system.

Therefore I propose that themes (possibly for all plugins) that have 'admin settings' have the ability to backup and restore key value pairs for their settings and files orchestrated by the 'admin_setting_configstoredfile' setting.  This could be a zip file like 'mbz' but perhaps 'mpz'.

Typing for myself, I try to ensure that setting names do not change and thus when restoring then it would be that a setting will still exist.  If a setting that exists in the current plugin version exists but not in the backup file, then a message shown and likewise when it exists in the backup and not in the plugin.

I have investigated the possibility of a simple combination of JSON key value pairs and storing files in a ZIP container with the File API, but consider that perhaps a team of developers is needed for this.  Could this be funded by the MUA?",329864,Essential Theme,"I am using 3.0+ (Build: 20151126) with Essential Theme. For a while I have been getting warnings that my theme version is not designed for my Moodle version. Is the Latest Essential version now compatible with Moodle 3. It seems to be but I'd like to be clear. Finally, if I install the latest version of Essential will I lose my customisations. What steps do I take to avoid this."
6,MDL-53688,Trouble with file permissions set by plugin installer,"When installing plugins using plugin installer, permissions for new files are set to 666, and folders get 777.
This causes problem in some sites, as they don't allow PHP files with these permissions to be run.

I understand this is caused by some software in those servers, but it seems to be quite common, at least from what I have seen recently.

From the discussion here:
https://moodle.org/mod/forum/discuss.php?d=323867#p1329307

It seems that Moodle is using the same permissions to create files in data folder and in plugin installer.

I think it would be good to change this, or maybe set more restrictive default permissions, if that's a better option, I don't know.

Thanks,
Antonio",323867,Moodle Plugin Installer not working.,"I have noticed that in Moodle 2.9 and 3.0 the plugin installer and the plugin up-grader does not work properly. What I have found is that when the installer is used the folder is placed in the correct moodle folder, but all of the folder permissions are changed to 777 and all of the files are changed to 666 and then the plugin does not work. A manual install setting the permissions of the main folder at 755 fixes the problem. When this is done all of the folders inside are at 755 and all of the files are 644 and the plugin works perfectly. It was so nice when the older versions of moodle were upgraded and all of the plugins auto updated correctly. I use about 6 plugins so it more work to upgrade. Has anyone else noticed this problem. Cheers, Mark Iannone Chemistry Teacher"
7,MDL-53699,Remove auto-hide setting for the recycle bin,"This is not done for other links in Moodle and seems unnecessary - see discussion https://moodle.org/mod/forum/discuss.php?d=330837.

I have created some code to remove this setting so the recycle bin link is always shown if it is enabled.",330837,We have to stop doing this! (Silly settings),"The new recycle bin feature that was just integrated ready for Moodle 3.1 is awesome. However ... One of the new admin settings it adds is: Auto hide ( tool_recyclebin | autohide ) Automatically hides the recycle bin link when the bin is empty. Why is that a setting? Just decide which of the two possible options is better usability , then implement that for everyone without adding yet another unnecessary setting to Moodle! We have to stop doing this."
8,MDL-53729,Add a new Rubric-like Grading method with simple direct grading,"Add to Moodle the ability to have a Rubric-like grading method which combines the feedback benefits of a rubric with that of simple direct grading (which would also allow the use of scales etc). 

The maths behind the current Rubric grading method are either too complicated or not appropriate for use cases where schools or universities have a set grading scheme and only grades within that scheme can be used. Unfortunately that makes the current rubric unusable in those conditions.

Proposed solution: Have an additional rubric grading method available which allows markers to set a grade through simple direct grading AND provide feedback through a rubric interface. The grade would entirely be provided by the simple direct grading.

Considerations: Naming convention for both types of Rubrics. This new rubric had a working title of ""feedback rubric"" but better described as ""Graded Rubric"" while current Rubric could be renamed ""Rubric (computed)"". Better naming suggestions welcomed!



https://docs.google.com/document/d/1tlfSK1CK8gfHAgraIntOM89IzHjdWSF-qz_uOKDRfYI/edit?usp=sharing 

Discussed in the forums here:
https://moodle.org/mod/forum/discuss.php?d=258819
https://moodle.org/mod/forum/discuss.php?d=320594",320594,"Developing a ""Feedback Rubric""","Hi everyone, Following our misadventures with the Rubric Advanced grading method , we are now seriously considering the development of a ""Feedback Rubric"". I thought it would be worth seeing if anyone else had any suggestions for it before it goes ahead or would also be interested in this (& potentially contribute to the development). The Rubric advanced grading method is nice in the way it allows markers to easily pick feedback descriptors  & is easy for students to review. However, during our online marking pilots this had serious rounding errors  and it was not appropriate for grading. Therefore, a ""feedback rubric"" similar to the existing rubric but which does not influence the grade & which can be combined with a Moodle Scale (which would be the sole source of the grade) would need to be developed to provide good feedback and reliable grades. Additionally,  we are thinking it would be beneficial if the ""Feedback rubric"" could allow multiple descriptors to be picked on each row. Here's a mockup for the marker view:"
9,MDL-53753,Add option for students to see response history during quiz attempts/review,"The response history table available to teachers during quiz review could be a valuable educational instrument for students in adaptive and interactive quizzing scenarios providing them with insight in how they progressed through a problem and arrived at a solution.

An example of the kind of information available in the table is attached as screenshot response-history.png.

A few people interested in this feature have thrown some feedback onto an associated Moodle in English forum thread: https://moodle.org/mod/forum/discuss.php?d=330293#p1329122 and the commentary on not making the quiz screen any more complicated are very apt (but that is really up to implementation).",330293,New quiz review feature,"Hi everyone, I have what I think is a new request (for our instance of moodle 2.8.5) but wanted to bounce it off everyone here to see if anything similar has come up before. We have an instructor who would like to provide quiz takers the ability to see their answer history as a part of quiz review. The specific scenario is a quiz with either adaptive mode or interactive with multiple tries set as the question behaviour. In these scenarios, instructors see a full history of all a student's answers to a question once the attempt is submitted (screenshot 1 - Response History.png). This information would be useful for students to have too. The instructor suggested adding it as an option in the quiz review section (screenshot 2 - Review options.png). Please let me know if there is anything like this has already been suggested or attempted. Regards, Dave"
10,MDL-53806,"In LDAP Authentication, a new user is created when the username is changed","We're currently using the LDAP authentication plugin to manage our user accounts from Active Directory.
We have a few cases occur where the username of a student has to be changed in AD which results in a new account being made in moodle separate to their original account when they next login with their changed username and their original account's past course data (submitted assignments, forum posts, enrolments....) is not in the new account. 

At present there does not seem to be a way to have the profile on moodle defined by a separate variable like an id number which is separate to the username the students login with so that LDAP won't create a new account when the user tries to login after their username is changed on AD.

Discussion about this issue: https://moodle.org/mod/forum/discuss.php?d=331163",331163,New account created by LDAP plugin when username changed in Active Directory,"We're currently using the LDAP authentication plugin to manage our user accounts from Active Directory. We have a few cases occur where the username of a student has to be changed in AD which results in a new account being made in moodle separate to their original account when they next login with their changed username and their original account's past course data (submitted assignments, forum posts, enrolments....) is not in the new account. Is there  a way to have the profile on moodle defined by a separate variable like an id number which is separate to the username the students login with so that LDAP won't create a new account when the user tries to login with their new username? I know there is a merge accounts plugin tool but if it wasn't needed and could be avoided that would be great."
11,MDL-53848,Formslib - add function to $mform that makes it possible to hide form elements dependent on selected values,"Hi there,

this ticket is close to the tickets MDL-49363 and MDL-52167 but not only requested for the adminlib but for the formslib.

With this issue I would like to enhance the user experience and the usability. 
At the moment, activity / resource settings can be grouped to different sections. For example in the assignment there are settings relating to Feedback types, Submission settings, Group submission settings and so on.

Within those settings it's only possible to disable elements if a value of another specified element is chosen. But this element is still visible to the user. If a user cannot make a choice because of a disabled option, is this item important for him? Does he need to see all the elements he cannot change? Would it not be more user friendly if he just get to see the items that are important for him depending to his selection?

Let me give you a short example of the group submission settings of the assignment activity:

If a user decides that his participants should submit all for themselves, he chooses 'No' at the item 'Student submit in groups'. That's all he need to do and know in this case:
!group_submit_no.png!
Does he need to read through all the settings that can be set when group submission is enabled? I don't think so.

The UI - only in this case - should present all the possible settings related to group submission mode:
!group_submit_yes.png!

Futhermore, in our Moodle we have the situation that we admins locked the setting 'Require group to make submission'. So the option is locked and definitely disabled, however it's not visible via the mouse over effect as it is with the disabled if option and it does not change whether yes or no is chosen in 'Student submit in groups', So the dependency to the selection of the element ahead is not clear. 
It would be much clearer if just the form elements that are needed are also presented to the user.

I propose for implementing a kind of hiddenif function to make a whole form element including its label invisible dependent on another element.

Here's also a question for such a function in the forum:
https://moodle.org/mod/forum/discuss.php?d=71658

Cheers,
Kathrin",71658,Form disabledIf - is there no hiddenIf?,"I'm trying to convert some old code that used a custom form system, which was much simpler than the current one, but appears to be more powerful in one regard! In particular, the new form system has disabledIf which is great but it doesn't have a hiddenIf. I want to use it for the following situation: * Drop-down provides several options [these come from database , not static] * Each option includes a quantity of text (possibly several paragaphs) describing it. When you choose the relevant option, the text for it appears. So basically this needs to work in JavaScript ... I'm wondering, is there already a way to do this that I have missed? Otherwise I'm planning to knock up custom JS just for this feature in this form - I probably don't have time to, say, implement hiddenIf. But maybe it should be added as a feature request in the bug tracker, if other people are interested in the idea... PS I'd also like to see it possible to implement hiddenIf/disabledIf for groups of related controls, by which I don't mean groups, but the fieldset thingies you can make using 'header' elements. But that's easily workaroundable."
12,MDL-53911,Ability for Faculty to view answers to in progress quiz attempts.,"n Moodle 1.9 instructors were able to view answers of an open attempt in Moodle.  In 2+ this ability is missing.  If you review an attempt that is open now you can see the student responses.  You can only see the correct answers for Cloze questions.  No other correct answers can be view.

It would be very helpful to be able to view answers for open attempts for all types of questions, especially calculated questions. For our courses, students have only a close time for the quiz, so no timelimit. They will often work on it for a few days and email questions to the instructors. Not knowing the answers makes it time consuming to give the student help.

See: https://moodle.org/mod/forum/discuss.php?d=211798",211798,Reviewing open attempts,"Hi all, A quick straight question: In Moodle 1.9.x when a treacher reviewed an open quiz attempt (i.e. not submitted by the student) the student's answers were visible as well as the correct answers. In Moodle 2.3.x this is no longer the case, apparently. the grader can see the students answers in a quiz that is listed as ""in progress"" but not the correct answers. Am I right and, if so, why is this? Is there a way to get the review of an open attempt to display correct answers. It seems possible for students to see correct answers during an attempt (i.e. before it is submitted), if the review options are anything to go by, so why cannot the graders see the attempt in progress with the same information? I'm asking this on behalf on a client for whom it is important to see the correct answers in open quiz attempts. Rgrds, Paul."
13,MDL-54693,Quiz overrides form attempt field could use a help icon,"As discussed in this forum thread, https://moodle.org/mod/forum/discuss.php?d=333413, the Attempts field on the Quiz group/user override form could use a help icon to explain that the setting is the total number of attempts allowed with the override, not a number of extra attempts.",333413,Quiz overrides: attempts allowed,"Hi there, I seem to be misunderstanding something about granting user overrides. I have a quiz that is set to have only 2 attempts. A student required another attempt (a 3rd attempt). When I set the user overrides ""attempts allowed"" to ""1"", I thought that meant ""one more"" attempt. But when I log in as the student, they still couldn't attempt the quiz. So I went back into user overrides and set the ""attempts allowed"" to ""3"" (1 more than the quizzes attempts allowed), and when I log in as the student, I can now see that the quiz is available to them. Is this the normal behaviour? Should I always be setting ""attempts allowed"" in user overrides to be one more than the number of attempts that the quiz normally allows? This seems strange to me. BTW , using Moodle 2.9."
14,MDL-54833,Accessibility enhancements: replace the current userplan table,"The issues of userplan table have been noted in a [forum|https://moodle.org/mod/forum/discuss.php?d=283014]

Using table for Workshop phases causes some issues for screen reader users (e.g. the links under submission phase is separated from the label 'Submission Phase' when reading the table using screen reader)

Actually there's another accessibility improvement raised by Tim Hunt in the [forum|https://moodle.org/mod/forum/discuss.php?d=283014] which is to have a non-visual indication on the current active phase. But this might be included when re-implementing the workshop phase using more HTML structure ",283014,Workshop accessibility issues,"We have been trialling using the Workshop module at the Open University. As a results of this we have a list of changes we think would be a good idea, or at least that we would like to discuss. I will probably post about then in a few separate threads, where I will group the changes by topic. If people agree with our proposals, I will make tracker issues for them. This first set should be relatively un-controversial. There are some accessibility issues we have spotted: The current phase is only indicated by hilighting one row in the table. You cannot show something with colour alone. Therefore, there needs to be some extra text to indicate the current Phase, possibly with class=""accesshide"". Alternatively, MDL-44010 might be a solution, but I don't think so. We are using the ""Comments"" grading method, but this probably applies to ""Accumulative"" too, and perhaps some others. When students are grading, the description of each aspect is not properly linked to the corresponding input box using <label> tags, or aria-labelledby, so screen-reader users find it difficult to complete the grading form. Various parts of the interface had insufficient contrast , which would make it hard for partially sighted users. We should tweak the CSS to increase the contrast. (Actually, I think this issue related to the file-picker, not the Workshop.) Any objections before I make tracker issue for these?"
15,MDL-54838,Accessibility enhancements: Differentiate labels for each Comments field,"This improvement has been raised in [forum|https://moodle.org/mod/forum/discuss.php?d=283014]
Elements inside each Aspect (e.g. Comment, Grade fields) on Assessment form does not properly link to the corresponding Aspect, so screen reader user may find it difficult to complete the Assessment form.
So these elements' label need to be updated to specify the Aspect that they belong to so that screen reader user know which aspect they comment/grade on.

+The solution will be:+

1. Instead of inserting a placeholder to existing string dimensioncomment, generate new string like: $string['dimensioncommentfor'] = 'Comment for {$a}';
New strings are needed for the following fields for each grading method:
+Accumulative grading:+
'Grade for {$a}'
'Comment for {$a}'
+Comments:+
'Comment for {$a}' – the same as comment in Accumulative grading method
+Number of errors:+
'Your assessment for {$a}'
'Comment for {$a}' – the same as comment in Accumulative grading method

2. bind the displayed description of the aspect with the input fields. e.g.
aria-labelledby=""id_dimensionhdr__idx_0"" aria-describedby=""id_dim_1_desc""",283014,Workshop accessibility issues,"We have been trialling using the Workshop module at the Open University. As a results of this we have a list of changes we think would be a good idea, or at least that we would like to discuss. I will probably post about then in a few separate threads, where I will group the changes by topic. If people agree with our proposals, I will make tracker issues for them. This first set should be relatively un-controversial. There are some accessibility issues we have spotted: The current phase is only indicated by hilighting one row in the table. You cannot show something with colour alone. Therefore, there needs to be some extra text to indicate the current Phase, possibly with class=""accesshide"". Alternatively, MDL-44010 might be a solution, but I don't think so. We are using the ""Comments"" grading method, but this probably applies to ""Accumulative"" too, and perhaps some others. When students are grading, the description of each aspect is not properly linked to the corresponding input box using <label> tags, or aria-labelledby, so screen-reader users find it difficult to complete the grading form. Various parts of the interface had insufficient contrast , which would make it hard for partially sighted users. We should tweak the CSS to increase the contrast. (Actually, I think this issue related to the file-picker, not the Workshop.) Any objections before I make tracker issue for these?"
16,MDL-54934,Accessibility enhancements: Indicate phase name/form name on the Workshop title,"As discussed at https://moodle.org/mod/forum/discuss.php?d=283014, the Workshop title is the same for all phases and forms which can cause confusion for screen reader user. It would be more accessible if the workshop title indicates which phase or which form the user is currently on.
* view form: Display current phase name (<h3>) below the workshop title
* submission form: display subheading of 'Submission' below the workshop title
 ",283014,Workshop accessibility issues,"We have been trialling using the Workshop module at the Open University. As a results of this we have a list of changes we think would be a good idea, or at least that we would like to discuss. I will probably post about then in a few separate threads, where I will group the changes by topic. If people agree with our proposals, I will make tracker issues for them. This first set should be relatively un-controversial. There are some accessibility issues we have spotted: The current phase is only indicated by hilighting one row in the table. You cannot show something with colour alone. Therefore, there needs to be some extra text to indicate the current Phase, possibly with class=""accesshide"". Alternatively, MDL-44010 might be a solution, but I don't think so. We are using the ""Comments"" grading method, but this probably applies to ""Accumulative"" too, and perhaps some others. When students are grading, the description of each aspect is not properly linked to the corresponding input box using <label> tags, or aria-labelledby, so screen-reader users find it difficult to complete the grading form. Various parts of the interface had insufficient contrast , which would make it hard for partially sighted users. We should tweak the CSS to increase the contrast. (Actually, I think this issue related to the file-picker, not the Workshop.) Any objections before I make tracker issue for these?"
17,MDL-54949,Ability to add information/instructions 'Overall assessment',"This has been noted in the [forum|https://moodle.org/mod/forum/discuss.php?d=305999], although we have the general instruction for assessment, but it would be helpful if we have an instruction below the 'Overall Feedback' for reviewers after they complete the grading form.

It may be having an extra text area in Edit Settings > Feedback to add the instruction text?",305999,OU Workshop requests: Usability,"This thread follows on (after a rather longer deplay than I was expecting) from https://moodle.org/mod/forum/discuss.php?d=283014 We have a number of small requests around usability , or rather, we have a list of things we know some users struggled with. We don't necessarily have solutions. Ability to add information/instructions 'Overall assessment' There is an option 'Overal feedback mode' that gives the
student to box in which to type and overall comment, after completing the rest of the grading form. However, there is no way to give instructions next to that box, like
there is for the other aspects of the grading method. Inconsistent editors when assessing On the assessment form, the input box for each of the Apsects is a plain textarea, but the input for the 'Overall assessment' is a HTML editor. I think we would like them to all be HTML editors. Students get confused by the intructions when reviewing their submission Even after the end of the submission phase, when a student reviews their submission (e.g. http://school.demo.moodle.net/mod/workshop/submission.php?cmid=651&id=48 ) the ""Instructions for submission"" are shown first, and are often written imperatively (""Write three sentences ...""). Apparently some students got confused by this, because when you are reviewing, you can't do that! I wonder if a solution to this is as simple as collapsing the instructions for submission by default when reviewing. (They are already in a collapsible region.) The link to review a submission is not easy to find The link to review your own submission is just the title of that submission. This was not obvious to all students. It might be better to change it to be a separate 'Review submission' link. Save and continue does not work well with requried fields The assessment form has a 'Save and continue editing' button. Students assuemd they could use this to stop half way through assessing, and come back later. However, since all the fields on the assessment form are required, you can't acutally do that. You have to fill in all the boxes (if only with junk) before you can save. If you do fill all the boxes with junk, you have not way of being reminded that you have not actually finished assessing. The ability to save partially complete assessments, to finish later, would be good (but a pain to implement). Option to display reviews by aspect, not reviewer At the moment, you see the review given by each user, and
for each user, and each review comments on a number of aspects. In this case it
would be good if there was the option to have the display grouped by aspect, and under each aspect, you
saw all the comments from each reviewer."
18,MDL-54950,Un-graded workshop,"As mentioned in the [forum|https://moodle.org/mod/forum/discuss.php?d=306017], in some cases the workshop is only be used for peer review without grade given. So having a flexibility to set the workshop un-graded would be really nice.

A workshop can be set as un-graded by setting both 'grade for submission' and 'grade for assessment' to 0.

Then the main tasks are hiding anythings on the UI related to grade or assessment weight.

If this makes sense, then I will list out all the places that will be hidden for un-graded workshop",306017,OU workshop requests: un-graded workshops,"At the OU, we are only using the workshop for peer review, not peer assessment. Now that is already possible, just set both the grade for submission and the grade for assessment to 0 (I think). However, the user-interface is no optimised for this case. We would like to change it so that in this case: The grading phase disappears Anything else in the UI that relates to grades is hidden. With this thread, I have finished my mass spamming of this forum. Just to recap: these are all suggestions based on our limited experience of using the Workshop. We are certainly not experts, and we probably have not thought of the best way to solve these problmes. The purpose of thest threads it to start a conversation. Please let us have your feedback on these ideas. Thank you in advance."
19,MDL-54970,Check for 0px when peer review / integrate / code check.,"It is considered wrong to have '0px' and instead just have '0' and whilst existing CSS should not be changed, when its does then it should be corrected.  A recent example is MDL-54559 - discussion ref: https://moodle.org/mod/forum/discuss.php?d=335059.

I thought that Code Checker checked against this?",335059,0 or 0px,"Hello Themers, I've just updated my M3.1 and noticed that MDL-54559 changes a margin in the modules.less file to '0px'.  I thought (with Codechecker etc.) that it was now good practice to have just '0'.  I realise that past code should not be changed, but when changes are made now then that should be the best practice. Thoughts please before I raise a policy tracker issue. Cheers, Gareth"
20,MDL-55027,Unable to resolve the consumer's image URL breaks access to LTI provider,"Currently if the consumer provides a broken image URL they can not access the LTI provider. This should not prevent access to the provider.

See forum discussion where this is happening to a user - https://moodle.org/mod/forum/discuss.php?d=333917#p1351652.",333917,"LTI from Sakai to Moodle , transferring Grades","Hi, I am using Sakai 10 as an LTI consumer , and Moodle 3 as LTI provider. The issue I am having is that the grades are not being transferred over. Have anyone successfully done this, and can help? Thanks, Phil"
21,MDL-55236,Allow assignment subplugins to back up configuration-related files,"This issue is about the backup/restore procedures for assignment subplugins (""submission"" or ""feedback"" type). 

These subplugins are included in the Moodle backup system in the usual way (with code in backup/moodle2). However, this applies to user-related data only. Configuration data is stored in a separate table (assign_plugin_config) instead, and backed up and restored from there.

This creates a problem if the plugin wants to attach files to its configuration data (e.g., via an upload field). These cannot be backed up properly, since the subplugin backup code is run only if user data is included.

For more details of the use case: https://moodle.org/mod/forum/discuss.php?d=276881",276881,Assignment feedback plugins - backup of files,"Hello, I wonder whether someone can help me with a problem related to backup/restore of assignment subplugins. I have an ""assignment feedback"" plugin here, which we've been using locally for a while, that I would like to share via the plugins DB. Now this plugin uses a file upload area in its per-activity configuration settings (not in the actual per-submission feedback screen). That works fine, except for the backup/restore mechanism. It appears that backups/restores for assignment subplugin settings are not actually delegated to the subplugin, but they are handled by backing up the table assign_plugin_config on a per-activity level. This happens in mod/assign/backup/moodle2/backup_assign_stepslib.php . However, I can't find a mechanism to include related file areas into the backup/restore. In our local installation, I can work around this by hacking backup_assign_stepslib.php to include the extra file area. This is just one line of addition, plus one in restore_assign_stepslib.php . However, this is clearly not a ""clean"" plugin approach, and I couldn't publish the plugin in this way. Does anyone see a way out? Any response appreciated, even just ""then open a request on the tracker and provide a patch"" - I haven't done that yet because I'm not sure whether I'm going in the right direction. Thanks Henning"
22,MDL-55854,Roles permissions in order to view custom user fields,"For now, only System Administrator can view custom user fields when ""Who is this field visible to?"" is set to ""Not visible"". 
It would benefit from being a role capability/permission, in order for Teachers and selected administrative roles to be able to see the information but keep it hidden from the students and other roles.
Discussion: [https://moodle.org/mod/forum/discuss.php?d=339128]",339128,View hidden profile fields permissions?,"I have added a hidden field in the user profile, to be used in the grading report export file. I have added it there, and it works fine. ""Who is this field visible to?"" is set to ""Not visible"", since this field should be visible to Moodle Managers and Teachers only. As a System Admin, I can see it in the users profile page. But Moodle Managers  and Teachers cannot se it. Is there a permissions setting I am missing, or is the ""Not Visible"" setting described above locking the field for all but System Admins? I cannot find any permission setting regarding this in the roles configuration."
23,MDL-55960,Replace the Grouping mode icons with a textual indication,"The Grouping mode icon, which placed near each activity is not only a state indicator, but also an action button. Clicking on it, changes the activity state from No Groups mode to Separate Groups to Visible Groups and back to No Groups. 
This functionality has 2 problems:
1. Too easy to make a change on Grouping mode (which is a pretty serious change) leads to many make this change by mistake.
2. The icons are not intuitive to understand which mode exactly they indicate.

Here, i suggest to remove those ""unclear"" icons and instead, provide a clear textual indication, similar to those produced by Restrict access functionality (visual explanation attached).

Opened a discussion for it: [https://moodle.org/mod/forum/discuss.php?d=339875], please let me know what do you think, guys..",339875,Grouping mode icons - are they a good solution?,"The Grouping mode icon, which placed near each activity is not only a state indicator, but also an action button. Clicking on it, changes the activity state from No Groups mode to Separate Groups to Visible Groups and back to No Groups. In my opinion, this functionality has 2 problems: 1. Too easy to make a change on Grouping mode (which is a pretty serious change) leads to many make this change by mistake. 2. The icons are not intuitive to understand which mode exactly they indicate. Here https://tracker.moodle.org/browse/MDL-55960 i suggest to replace them with a clear text message.. I wonder what other moodlers think about it.. Please let me know if you disagree and why.. Do you find those Grouping mode icons usable, convenient,..? Please vote if you agree"
