Unnamed: 0,issue_id,issue_title,issue_description,post_id,post_title,post_description
390,MDL-19254,export forum discussion,"See this forum discussion: http://moodle.org/mod/forum/discuss.php?d=99400 including my description of the feature request.  It seems to me that the work by Dean Stringer may have already completed much of the foundation for this feature.

Something within the MOODLE framework so that users can export  forum discussions on-the-fly. Example:

   1. user navigates to forum
   2. user reads forum, wants to archive for off-line reading later
   3. user clicks some sort of ""export"" link that then prompts user to download formatted export file",99400,How to archive or save a copy of the forum discussion,"Hello, Does anybody know how to archive or save a copy of the forum discussion? Your reply is very much appreciated. Thanks!"
391,MDL-19390,Send email to new users added manually,"When a user is created manually by admin, the user is not sent a welcome email with login information. Also when an admin changes a users password there is no way to send an email with login information.

Perhaps this could be an option under bulk user actions ""Email login information"" and/or a checkbox on the create/edit user page.

See these 2 forum requests for the feature
http://moodle.org/mod/forum/discuss.php?d=117005
http://moodle.org/mod/forum/post.php?reply=547725
",117005,Internal Enrollment - Adding a new user: auto email (HELP!!),"I want to setup my site to where if I add a new user to the website through: Site Administration>Users>Accounts>Add a new user the new user email address will be sent a confirmation email with login steps, and verification of their email, username and password; and then force them to change that password when they login. Does anyone know how to do this? thanks, Brett"
392,MDL-19432,Separate issue queue for each theme,"I think helping with problems with specific themes (e.g. Custom Corners like in http://moodle.org/mod/forum/discuss.php?d=114553) would be much more efficient (and avoid repetition) if there were separate issue queues for each theme.

The natural place for this would be http://moodle.org/themes. Only all of Moodle's standard themes would have to be added there too.

(I already proposed that awhile ago in http://moodle.org/mod/forum/discuss.php?d=121708 but with no feedback yet.)

Kind regards,
Frank",121708,Separate issue queues for each theme,"I think helping with problems with specific themes (e.g. Custom Corners like in http://moodle.org/mod/forum/discuss.php?d=114553 ) would be much more efficient (and avoid repetition) if there were separate issue queues for each theme. The natural place for this would be http://moodle.org/themes . Only all of Moodle's standard themes would have to added there too. Kind regards, Frank"
393,MDL-19465,Towards better get_user_access_sitewide performance,"Although some improvements have been performed to the get_user_access_sitewide() function (see MDL-15748) following discussion http://moodle.org/mod/forum/discuss.php?d=107755#p548095 seems to indicate that we could improve it a bit more by moving some stuff within the function.

This bug is about to discuss/test/decide if the change is doable, really boosts performance and provides 100% the same results.

Thanks to Paolo Oprandi for all his tests/comments.",107755,Scaling Problem with get_user_access_sitewide() function,"Dear Developers, First, background: I am a programmer working at the University of Bath where we have a rapidly growing (and critical) Moodle installation. 13,000 *active* user accounts and 4,000 courses (with varying degrees of activity in them). Most users are members of a significant number of courses. Our backend is a MySQL database running on a dedicated server . I don't know if the wider Moodle community is aware of us, but I'd say we're a pretty large and visible Moodle installation. Over the Summer we upgraded to Moodle 1.9 from 1.5 and with the new semester we're just now getting hit by serious usage. Things are just about holding although we've had a few temporary instances of the database being maxed out, and we've identified some queries that have caused problems. One of the primary culprits is the query used in the get_user_access_sitewide() function, /lib/accesslib.php ,v 1.421.2.62, ln. 1187. Looking at this query, it seems odd to me due to the self join on the Context table. I'm not an expert on the inner workings of My SQL , but I thought it would be worth re-phrasing the query to see if it made a difference. My amendment was as follows: Original: SELECT sctx.path, ra.roleid, rco.capability, rco. permission FROM mdl5_role_assignments ra"
394,MDL-19596,Disable gradebook horizontal scrollbar for IE6 users,"Comment from Matt Gibson in MDL-18228:

I love this new feature, but our IT guys are dragging their heels on IE upgrades leaving us with a mixture of IE6 and IE7, which means that some people are getting confusing screens. Could a browser check be added so that if HTTP_USER_AGENT is IE6, this feature is disabled for the session?

Forum discussion about this issue: http://moodle.org/mod/forum/discuss.php?d=126403",126403,"Problem: Moodle 1.9.5+ Grader Report, static student column, and IE 6","Hello all, This is painful to admit, but some of our systems are still using Internet Explorer ( IE ) 6. I upgraded a test server this morning to Moodle 1.9.5+ (the weekly), and was experimenting with the new Grader Report. Very nice by the way! I did have one issue though. When I turn on the static student column, and then turn on editing in IE 6, the student column ends up above the marks, almost like two separate tables, rather than the expected behviour. I tested in Firefox 3.0.11, and everything works as advertised. Is this just a limitation in IE 6, or has anyone else had this problem and been able to get the static student column to work in IE 6? I am not really expecting the Moodle team to support IE 6... *sigh*... I know I don't want to! Thanks in advance as always Carvell"
395,MDL-19602,Add cell highlighting to the grader report so toolitips are asier to follow,"A comment from Barry Oosthuizen in the discussion here:  http://moodle.org/mod/forum/discuss.php?d=125112

""Is there any way to switch off the tooltips containing the student name and grade item?
The feedback I have from our instructors is that it confuses them as to which cell it refers to.""

I have this working on my local install. Patch to follow.",125112,Grader Report Tooltips - How to switch them off,Is there any way to switch off the tooltips containing the student name and grade item? The feedback I have from our instructors is that it confuses them as to which cell it refers to.
396,MDL-19665,Ability to message actively online users for urgent announcement,"From forum thread 'Block that displays message to users when they login?' URL: http://moodle.org/mod/forum/discuss.php?d=126823

Jeff Sherk wants to make an annoucement about something, and when the user logs in, this message will pop up and they have to read it before they can continue?
I am looking for a way to pop-up an urgent announcement such as ""I'm about to put the site in Maintenance mode. Save stuff and get off!!!""  

Thoughts:
I think this should be an Admin-only ability.
Could have a forum that is used specifically to post the urgent announcement to - which could fit with MDL-7641
Could use the message pop-up feature - again kind of MDL-7641.  Although I'm not too worried about using the Message pop-up (as some users block messages or pop-ups).  

I would be happy enough with a resource displayed on a page refresh or navigation move or a prominent label/message (or a link to a forum post) at the top of the page or in the NavBar??

Thanks in advance :)
Teresa",126823,Block that displays message to users when they login?,"Does anybody know if there is a block that can display messages to users when they login? Say for example I want to make an annoucement about something, and when the user logs in, this message will pop up and they have to read it before they can continue? Thanks"
397,MDL-19719,"Remove support for $THEME->langsheets, and lang/.../styles.php","http://moodle.org/mod/forum/discuss.php?d=127449

This was introduced in 2005 (http://cvs.moodle.org/moodle/theme/standard/config.php?r1=1.13&r2=1.14)

It turns out that it all that time, it has only been used for one thing: Apparently, on Windows computers (at least in 2005 when this was added) Vietnamese text only displayed properly in Arial. Therefore, this functionality, and a lang/vi_utf8/styles.php file, were added so that themes that used another font (e.g. the moodle.org theme) did not make the site unusable in vietnamese.

In Moodle 2.0 we can achieve the same result much more easily by adding
body.lang-vi_utf8,
body.lang-vi_utf8 table,
body.lang-vi_utf8 td,
body.lang-vi_utf8 th,
body.lang-vi_utf8 li {
font-family: Arial, Verdana, Helvetica, sans-serif !important;
}
to the standard theme. (With a comment that explains things.)

Therefore, I propose to remove $THEME->langsheets to simplify the code.",127449,Language styles.php files,"You may, or may not know, that it is possible for languages to include a styles.php file, and then if the current theme specifies both $THEME->standardsheets = true and $THEME->langsheets = true (both of those are the default), then the styles.php file from the language folder will be included with the rest of the standard theme CSS . Well, that was the situation in Moodle 1.9. However, looking in CVS , only Vietnamese includes a styles.php file (last modified in 2005), and that only says 
```text
body,td,tr,li {
 font-family: Arial, Verdana, Helvetica, sans-serif !important;
}
```
 Which looks very similar to the CSS in the standard theme: 
```text
body, table, td, th, li {
 font-family:Arial, Verdana, Helvetica, sans-serif;
}
```
 I can't work out why this was introduced. ( http://cvs.moodle.org/moodle/theme/standard/config.php?r1=1.13&r2=1.14 does not help much.) The one thing that might need it is right-to-left languages. However, these days we have a better way to handle that, using an optional rtl.css file in the theme folder. So, I am proposing to remove this functionality from Moodle 2.0. If anyone objects to that, please explain why ASAP. Thanks."
398,MDL-20041,Show where a teacher has commented in the quiz reports,"In the quiz grades and responses reports, add a comment icon next to question grades/answers that have a manually comment. Give that icon a tooltip that shows the text of the comment.

http://moodle.org/mod/forum/discuss.php?d=130051",130051,How to run off a report on the override comments made?,"Hi there, I have read through the forum and can see there is a plug in for detailed responses, but the query I have is can such a report also include all the comments that have been made by a tutor? For example, we have a quiz which allows several attempts. The tutor can make a comment at any point and override the grade if necessary. How can that tutor now look back and get an overall view of all the comments made for that student over how every many attempts taken? Also when looking at the Quiz results - how can you tell which question/result has a comment against it?  I cannot see any flags anywhere? Many thanks for any help, Sue"
399,MDL-20045,Add unofficial support for custom context levels,"This issue is in reference to http://moodle.org/mod/forum/discuss.php?d=111362.
In brief, one of our Moodle extensions would benefit greatly from being able to use Moodle's roles and contexts system, and we would need to define our own context levels.  However, we would like to be able to do this without having to differ from core in unmaintainable ways.
We believe that this would be helpful to many other Moodle partners and plugin developers, and some of our proposed changes may help to improve the maintainability and readability of core Moodle code.",111362,External Context Constants,"Some of the work we are doing requires us to use Moodle's roles and capabilities functions for our extra sub-systems. To do this, we would like to add our own context types. With the current system this is as easy as having a file with declarations like: 
```text
define('CONTEXT_S1_CONTEXT1', 1010);
define('CONTEXT_S1_CONTEXT2', 1030);
```
 etc. Should we consider that this may be a potential thing for other systems, and set up some way of reserving codes for specific uses? mike"
